row_index_1b,PC1,PC2,group
1,3078.487651121555,781.8200531163845,real
2,3133.834935604232,-135.98040197877768,fake
3,3089.839937382147,-70.12850687362605,fake
4,3154.5248637874247,445.5834292886035,fake
5,2995.580253387954,1266.7799561702304,fake
6,3114.1661998789154,-266.5251119164898,fake
7,3525.9021135559165,968.0468569267775,fake
8,3500.488335413773,1057.3434056782412,fake
9,3368.4691719999414,746.8897025921361,fake
10,3223.4915252273354,74.91059017201108,fake
11,3311.3080168970514,-12.548211756151515,fake
12,3088.759231401493,-497.86777689484063,fake
13,3199.8088801051745,362.0242080607102,fake
14,3246.5131477811474,704.6550440260081,fake
15,3113.611008798852,-212.11939300927304,fake
16,3244.828948395083,721.4510153966928,fake
17,3079.713296559259,-7.7352112200427845,fake
18,3146.9872741968506,-223.36731912821512,fake
19,3157.2536774349032,-333.01925891097306,fake
20,3075.5814595090364,86.85940151550479,fake
21,3245.334914796187,929.4314277238731,fake
22,3112.2602931898705,629.8949607737393,fake
23,3315.2260203683504,1033.569995489135,fake
24,3348.175635244596,339.67370803656974,fake
25,3192.468962103963,270.30206396343823,fake
26,3281.2416909118556,378.99654214795885,fake
27,3282.3921482643195,441.97034611663275,fake
28,3221.310896711741,698.1107814059365,fake
29,3089.7061228835896,793.4086535092808,fake
30,3395.7529501492727,1533.1502424916318,fake
31,3077.0242938322203,724.5406798020571,fake
32,3297.3225311667434,1387.9118033816067,fake
33,3467.9475385574065,1451.2876568563806,fake
34,3545.220539085515,753.975024602714,fake
35,3333.7906625252604,1415.461110616397,fake
36,3472.3844570027204,1765.2185626464982,fake
37,3482.0295526091213,420.4345505680269,fake
38,3620.7348604344784,653.6985486345235,fake
39,3498.893547930211,911.0988212621786,fake
40,3571.5391918231594,874.8537050521267,fake
41,3291.9907354464426,607.2090589070276,fake
42,3411.143592203337,654.894756518357,fake
43,3354.6888247323964,319.7723466879478,fake
44,3431.5184017385513,421.8653872288034,fake
45,3216.416241675793,294.70170283621167,fake
46,3317.8678268678227,361.99630938931216,fake
47,3564.700710018285,326.38470009951953,fake
48,3218.752069513564,37.00904820090129,fake
49,3084.3452068216934,-252.45747141853204,fake
50,3287.9704392607578,17.858378546990735,fake
51,3219.6600096808397,-436.4301571161094,fake
52,3060.071656821337,-649.2451496534366,fake
53,3295.926640196859,853.720155812009,fake
54,3299.3163677296225,-667.3539210402251,fake
55,3238.4565986873104,-714.6103863670686,fake
56,3325.67270856554,-18.09741785742724,fake
57,3183.818276579379,-257.38084150922975,fake
58,3318.4181328816626,145.03469221691302,fake
59,2909.0398803657104,-1235.270042304353,fake
60,2865.06126518274,-30.34896341993476,fake
61,2782.5230450038375,-123.27796606970918,fake
62,2766.959839201788,6.881409488853736,fake
63,2756.178066817953,-623.2460833038697,fake
64,2865.2131284849843,172.55030876782686,fake
65,2792.6631287202613,260.07337561839716,real
66,3233.996369917364,1783.9180321833974,fake
67,3230.5089819918494,2272.8150907962436,fake
68,2990.593046468431,1225.3109790052492,fake
69,2827.063768552727,1146.7797665855862,fake
70,3071.4479786359393,1789.6275882427128,fake
71,2965.479346548547,1822.7187949218358,fake
72,2870.0651013241463,1300.3720648411092,fake
73,2757.6929465702187,1474.798064671301,fake
74,2652.6700703961346,2194.129545928264,fake
75,2503.5263991425413,1754.8130559360777,fake
76,2562.009516490858,2865.113111748863,fake
77,2077.658283839065,3731.588095740815,fake
78,614.1214547202372,5046.101251099878,fake
79,1908.4413424561749,4021.044263536267,fake
80,771.2608975725162,4307.45953819358,fake
81,157.92184723948156,4404.598610980498,fake
82,-1357.113571785414,4671.296089553267,fake
83,-3224.2217919317463,4270.3549373550095,fake
84,-3402.4377686999565,4006.862401009509,fake
85,-3573.597771474475,4187.356719445773,fake
86,-3248.9075055448006,3794.245638401655,fake
87,-3037.9262552303794,3583.89943148269,fake
88,-3457.7540664907233,3444.302367214814,fake
89,-3671.777724406656,3231.913692834238,fake
90,-3383.309682038101,3258.2937280071646,fake
91,-3754.361628959951,2691.824311533428,fake
92,-3961.1328553412045,2475.0903464222843,fake
93,-3925.2078402427574,2536.7397959727323,fake
94,-3683.3307707471804,2551.2769762716125,fake
95,-3902.348062343553,2879.267359151489,fake
96,-3910.412094128769,2948.245663321829,fake
97,-4301.5189848370555,2235.2974920816905,real
98,-3947.387275902609,2323.931955623411,fake
99,-3992.8156094202504,2253.272695824077,fake
100,-3913.2023701852795,2780.596602095293,fake
101,-3622.8123519373235,3790.916107240416,fake
102,-3785.8402353637207,3206.5849495812636,fake
103,-3700.2719199895964,3625.447064841283,fake
104,-3139.9462127688416,4254.190239909392,fake
105,-3055.8248734818667,4401.878788910693,fake
106,-2702.1592641430634,4465.837415167177,fake
107,-1309.3769529811077,4164.351462841808,fake
108,-1954.8112565951549,4954.501147892581,fake
109,1423.3294880599988,3723.3678364216444,fake
110,1361.223015508962,3583.631747113837,fake
111,1369.9648657723505,3577.7588968659497,fake
112,1567.7839341222345,3372.541550496027,fake
113,527.5826951342463,5092.8564282655425,fake
114,2399.8190773361516,1886.628124562698,fake
115,2037.8150493981143,3177.2697866424746,fake
116,2198.741357346139,1999.1354740549198,fake
117,2217.2176545888656,2041.1368749736605,fake
118,2728.8742610987656,1117.3422243061211,fake
119,2527.54974520733,1539.2419116784333,fake
120,2643.5305756576554,2380.998762389258,fake
121,2391.2581274126005,600.141675377739,fake
122,2390.6846663160763,177.2774404544203,fake
123,2494.868427671195,1478.5328565266238,fake
124,2294.285681398223,747.0201645716907,fake
125,2520.9287692171793,1405.022044093984,fake
126,1981.4666935622818,-400.8071388136626,fake
127,2236.80672365423,1845.7117409932996,fake
128,2150.5149490042218,1504.383660985002,fake
129,2152.2072133703223,581.9465711403358,real
130,2076.9877060879876,1363.9659045592725,fake
131,1997.1065623317957,1713.7244939066368,fake
132,1264.0021144725322,1977.9724244856272,fake
133,884.4579238185548,2344.1112531305384,fake
134,449.3026646709687,2352.5686233488645,fake
135,440.34177536312205,2346.007991896832,fake
136,-28.318761923704052,1719.3717465232153,fake
137,-573.7085469305588,2582.59677095324,fake
138,-781.178107470747,1078.5023341668063,fake
139,-1532.5767503680572,1679.123193323004,fake
140,-1349.9601090557987,235.4504742578215,fake
141,-1325.525945569502,931.1013198278994,fake
142,-1668.8296788565094,-80.2376506182236,fake
143,-1639.5703771176306,735.3824719154156,fake
